brand,model,price,year,mileage,city,transmission_type,color,fuel,date
Peugeot,406,200000,1999,274000,القاهرة,أتوماتيك,أسود,بنزين,2025-04-21
Jetour,X95,1250000,2022,140000,مدينة نصر,أتوماتيك,أبيض,بنزين,2025-04-20
Speranza,A113,235000,2010,124000,القاهرة,مانيوال,رمادي,بنزين,2025-04-20
Citroën,C Elysee,780000,2022,9526,الدقى,أتوماتيك,فيراني,بنزين,2025-04-20
Kia,Sportage,1425000,2019,85000,الهرم,أتوماتيك,أبيض,بنزين,2025-04-20
MG,GT,1100000,2022,24000,القاهرة,أتوماتيك,ذهبي,بنزين,2025-04-20
Daewoo,Lanos 2,230000,2001,254000,المحلة,مانيوال,ذهبي,بنزين,2025-04-20
Nissan,Sunny,500000,2023,120000,القاهرة,مانيوال,أسود,بنزين,2025-04-20
Audi,Q5,900000,2011,245,مرسى مطروح,أتوماتيك,فضي,بنزين,2025-04-20
Volvo,S60,1180000,2018,100000,القاهرة,أتوماتيك,فيراني,بنزين,2025-04-21
Chery,Arrizo 5,640000,2023,37000,6 أكتوبر,أتوماتيك,أزرق,بنزين,2025-04-21
Volvo,XC 40,2000000,2021,88000,القاهرة,أتوماتيك,فضي,بنزين,2025-04-21
Chery,Arrizo 5,640000,2025,9000,6 أكتوبر,مانيوال,فضي,بنزين,2025-04-21
Hyundai,Accent RB,820000,2024,100,القاهرة,أتوماتيك,رمادي,بنزين,2025-04-21
Mitsubishi,Pajero,1950000,2016,180000,القاهرة,أتوماتيك,برونزي,بنزين,2025-04-21
Jeep,Grand Cherokee,1250000,2012,220000,القاهرة,أتوماتيك,فضي,بنزين,2025-04-21
Opel,Astra,650000,2017,135000,الإسكندرية,أتوماتيك,أبيض,بنزين,2025-04-21
Seat,Ibiza,850000,2019,129000,القاهرة,أتوماتيك,برتقالى,بنزين,2025-04-21
Nissan,Juke,1060000,2022,82000,القاهرة,أتوماتيك,احمر,بنزين,2025-04-21
Nissan,Sunny,450000,2010,235000,المنيا,أتوماتيك,ذهبي,بنزين,2025-04-20
BMW,316,700000,2011,200000,السويس,أتوماتيك,أبيض,بنزين,2025-04-20
Opel,Insignia,750000,2014,150000,الإسكندرية,أتوماتيك,احمر غامق,بنزين,2025-04-20
Isuzu,D max,1650000,2021,180000,سوهاج,أتوماتيك,أبيض,ديزل,2025-04-20
Toyota,Corolla,1350000,2022,40000,القاهرة,أتوماتيك,برونزي,بنزين,2025-04-20
Byd,F3,450000,2021,247000,إمبابة,مانيوال,فيراني,بنزين,2025-04-20
Mercedes,250,1000000,2010,283000,القاهرة,أتوماتيك,أسود,بنزين,2025-04-20
Toyota,Fortuner,1800000,2015,220000,التجمع - القاهرة الجديدة,أتوماتيك,أسود,بنزين,2025-04-20
Chevrolet,N300,400000,2015,55000,الهرم,مانيوال,احمر,بنزين,2025-04-20
Hyundai,Tucson GDI,1350000,2018,169000,كفر الزيات,أتوماتيك,أسود,بنزين,2025-04-20
Hyundai,Elantra MD,630000,2012,280000,مدينة الشيخ زايد,أتوماتيك,فضي,بنزين,2025-04-20
Nissan,Sunny,640000,2023,52000,مصر الجديدة,أتوماتيك,موكا,بنزين,2025-04-20
Speranza,A516,185000,2007,150000,العبور,مانيوال,احمر,بنزين,2025-04-20
Byd,F3,530000,2023,150000,قليوب,مانيوال,احمر,بنزين,2025-04-20
Kia,Carens,690000,2013,125000,العبور,أتوماتيك,فضي,بنزين,2025-04-20
Kia,Picanto,380000,2008,140000,طنطا,أتوماتيك,فضي,بنزين,2025-04-20
Kia,Forte,650000,2009,130000,المنصورة,أتوماتيك,أسود,بنزين,2025-04-20
Speranza,A516,250000,2010,465000,الشروق,مانيوال,فضي,بنزين,2025-04-20
BMW,525,1300000,2012,172000,مدينة نصر,أتوماتيك,فضي,بنزين,2025-04-20
Chevrolet,Aveo,415000,2017,178000,البحيرة,أتوماتيك,فيراني,بنزين,2025-04-20
Hyundai,Elantra HD,825000,2019,38000,شبين الكوم,أتوماتيك,الأزرق الداكن,بنزين,2025-04-20
Hyundai,Tucson GDI,1300000,2020,125000,حدائق الاهرام,أتوماتيك,رمادي,بنزين,2025-04-20
MG,5,750000,2021,155000,التجمع - القاهرة الجديدة,أتوماتيك,احمر,بنزين,2025-04-20
Peugeot,2008,885000,2019,132000,مدينة الشيخ زايد,أتوماتيك,فضي,بنزين,2025-04-20
Citroën,C4X,1320000,2023,45000,التجمع - القاهرة الجديدة,أتوماتيك,أسود,بنزين,2025-04-20
Fiat,Regata,90000,1984,200000,الوادي الجديد,مانيوال,أزرق,بنزين,2025-04-20
Renault,Duster,840000,2020,104000,القاهرة,أتوماتيك,أبيض,بنزين,2025-04-21
Renault,Sandero,620000,2021,78000,6 أكتوبر,أتوماتيك,فضي,بنزين,2025-04-21
Fiat,Tipo,780000,2021,89000,القاهرة,أتوماتيك,فضي,بنزين,2025-04-21
Kia,Picanto,625000,2016,77000,القاهرة,أتوماتيك,احمر,بنزين,2025-04-21
Kia,Picanto,725000,2018,81000,القاهرة,أتوماتيك,احمر,بنزين,2025-04-21
Hyundai,Elantra CN7,1130000,2022,66000,القاهرة,أتوماتيك,أزرق,بنزين,2025-04-21
Toyota,Corolla,1090000,2021,62000,القاهرة,أتوماتيك,فضي,بنزين,2025-04-21
Nissan,Sunny,640000,2023,95000,القاهرة,مانيوال,فيراني,بنزين,2025-04-21
Changan,Alsvin,500000,2022,111000,مدينة نصر,أتوماتيك,احمر,بنزين,2025-04-20
Hyundai,I10,390000,2015,125000,مدينة نصر,مانيوال,فضي,بنزين,2025-04-20
Peugeot,508,700000,2015,140000,المنوفية,أتوماتيك,فيراني,بنزين,2025-04-20
Nissan,Sunny,450000,2011,250000,الشروق,مانيوال,ذهبي,بنزين,2025-04-20
Suzuki,Alto,340000,2021,35000,الجيزة,مانيوال,فضي,بنزين,2025-04-20
Hyundai,Excel,150000,1995,150000,المنيا,مانيوال,أزرق,بنزين,2025-04-20
Opel,Grandland,1450000,2024,50000,الشروق,أتوماتيك,أسود,ديزل,2025-04-20
Citroën,C5 Aircross,1250000,2020,165000,6 أكتوبر,أتوماتيك,فضي,بنزين,2025-04-20
Chevrolet,Optra,450000,2017,209000,6 أكتوبر,أتوماتيك,أزرق,بنزين,2025-04-20
Renault,Logan,420000,2016,200000,المرج,أتوماتيك,احمر,بنزين,2025-04-20
Kia,Soul,725000,2015,165000,مدينة نصر,أتوماتيك,أبيض,بنزين,2025-04-20
Chevrolet,Aveo,480000,2016,250000,شبرا,مانيوال,فضي,بنزين,2025-04-20
Suzuki,Van,110000,2013,180000,المنصورة,مانيوال,أبيض,بنزين,2025-04-20
Hyundai,Matrix,515000,2008,25000,المنصورة,أتوماتيك,فضي,بنزين,2025-04-20
MG,6,875000,2019,88000,التجمع - القاهرة الجديدة,أتوماتيك,أسود,بنزين,2025-04-20
Mercedes,GLA 200,2000000,2018,97000,المنصورة,أتوماتيك,أسود,بنزين,2025-04-20
Peugeot,407,450000,2007,170000,القاهرة,أتوماتيك,ذهبي,بنزين,2025-04-20
Toyota,Corolla,530000,2008,164000,الإسكندرية,أتوماتيك,ذهبي,بنزين,2025-04-20
Renault,Logan,520000,2020,57000,الإسكندرية,أتوماتيك,أسود,بنزين,2025-04-20
Hyundai,Verna,500000,2017,36000,التجمع - القاهرة الجديدة,أتوماتيك,رمادي,بنزين,2025-04-20
Mercedes,E 230,250000,1980,840000,6 أكتوبر,مانيوال,رمادي,بنزين,2025-04-20
Hyundai,Verna,330000,2015,250000,الهرم,مانيوال,أبيض,بنزين,2025-04-20
Kia,Sportage,1300000,2020,95000,القاهرة,أتوماتيك,أبيض,بنزين,2025-04-20
Chevrolet,Captiva,940000,2020,74000,القاهرة,أتوماتيك,أسود,بنزين,2025-04-20
MG,5,780000,2021,49000,القاهرة,أتوماتيك,فضي,بنزين,2025-04-21
Daewoo,Lanos,275000,2006,193000,دمياط,مانيوال,أسود,بنزين,2025-04-21
MG,Rx5,930000,2021,190000,التجمع - القاهرة الجديدة,أتوماتيك,سماوى,بنزين,2025-04-21
Mercedes,C 200,3300000,2023,12000,مدينة نصر,أتوماتيك,أسود,بنزين,2025-04-21
Hyundai,I10,390000,2008,87000,حلوان,مانيوال,أسود,بنزين,2025-04-21
BMW,318,1400000,2017,60000,طنطا,أتوماتيك,برونزي,بنزين,2025-04-21
Skoda,Roomster,445000,2009,148000,مصر الجديدة,أتوماتيك,رمادي,بنزين,2025-04-21
Mercedes,C 200,4250000,2024,15000,دمنهور,أتوماتيك,أسود,بنزين,2025-04-21
Chery,Tiggo 4 Pro,1025000,2025,2000,دمياط,أتوماتيك,احمر,بنزين,2025-04-21
Seat,Ibiza,580000,2015,128000,الجيزة,أتوماتيك,بني,بنزين,2025-04-21
Renault,Megane,920000,2020,90000,القاهرة,أتوماتيك,فضي,بنزين,2025-04-20
Geely,Pandino,285000,2015,150000,الجيزة,مانيوال,برونزي,بنزين,2025-04-20
Mitsubishi,Lancer Puma,230000,2006,180000,6 أكتوبر,أتوماتيك,فضي,بنزين,2025-04-20
Chevrolet,Aveo,360000,2007,114000,زفتى,مانيوال,فيراني,بنزين,2025-04-20
Fiat,Tipo,760000,2020,80000,القاهرة,أتوماتيك,فيراني,بنزين,2025-04-20
Hyundai,Getz,390000,2009,171000,6 أكتوبر,أتوماتيك,رمادي,بنزين,2025-04-20
Skoda,Kodiaq,1650000,2020,225000,الغردقة,أتوماتيك,أبيض,بنزين,2025-04-20
Renault,Symbol,250000,2009,265000,الإسكندرية,مانيوال,ذهبي,بنزين,2025-04-20
Hyundai,Elantra CN7,1080000,2021,120000,المهندسين,أتوماتيك,أزرق,بنزين,2025-04-20
MG,6,880000,2021,90000,المهندسين,أتوماتيك,احمر,بنزين,2025-04-20
Hyundai,Elantra,850000,2020,90000,الشرقية,أتوماتيك,فضي,بنزين,2025-04-20
Mercedes,GLK 250,1500000,2015,347000,مصر الجديدة,أتوماتيك,أسود,بنزين,2025-04-20
Opel,Astra,580000,2014,145000,الإسكندرية,أتوماتيك,بني,بنزين,2025-04-20
Seat,Arona,1030000,2022,57000,مدينة الشيخ زايد,أتوماتيك,بترولي,بنزين,2025-04-20
Mercedes,200,190000,1977,280000,ميت غمر,أتوماتيك,أبيض,بنزين,2025-04-20
Opel,Mokka,1090000,2022,82000,مدينة الشيخ زايد,أتوماتيك,أبيض,بنزين,2025-04-20
Nissan,Qashqai,725000,2013,60000,الزقازيق,أتوماتيك,احمر غامق,بنزين,2025-04-20
Chery,Tiggo 3,510000,2017,120000,الإسكندرية,أتوماتيك,أزرق,بنزين,2025-04-20
Chevrolet,Lanos,235000,2010,300000,طنطا,مانيوال,أبيض,بنزين,2025-04-20
Nissan,Qashqai,870000,2019,125500,بني سويف,أتوماتيك,أزرق,بنزين,2025-04-20
Daewoo,Lanos 2,250000,2008,200000,الإسكندرية,مانيوال,ذهبي,بنزين,2025-04-20
Hyundai,Verna,325000,2008,155000,مدينة نصر,مانيوال,احمر غامق,بنزين,2025-04-20
Hyundai,Getz,450000,2010,188000,القاهرة,أتوماتيك,أسود,بنزين,2025-04-20
Mitsubishi,Lancer Puma,375000,2006,300000,أشمون,أتوماتيك,فضي,بنزين,2025-04-20
Geely,Fruits,190000,2007,170000,6 أكتوبر,أتوماتيك,أبيض,بنزين,2025-04-20
Mazda,Mazda 3,770000,2017,188000,القاهرة,أتوماتيك,أسود,بنزين,2025-04-20
Chery,Tiggo,350000,2010,250000,الجيزة,أتوماتيك,أسود,بنزين,2025-04-20
Skoda,Rapid,525000,2015,210000,الإسكندرية,أتوماتيك,أبيض,بنزين,2025-04-20
Daewoo,Lanos,250000,1998,350000,بلبيس,أتوماتيك,أزرق,بنزين,2025-04-20
Opel,Astra,275000,2003,250000,الشروق,أتوماتيك,احمر,غاز الطبيعي,2025-04-21
Audi,A5,1550000,2019,162000,الإسكندرية,أتوماتيك,فيراني,بنزين,2025-04-21
Mercedes,CLA 180,800000,2021,97000,مدينة نصر,أتوماتيك,أبيض,بنزين,2025-04-21
Kia,K3,850000,2017,162000,مدينة نصر,أتوماتيك,بترولي,بنزين,2025-04-21
Fiat,Punto,200000,2016,200000,القاهرة,أتوماتيك,أسود,بنزين,2025-04-21
Fiat,Tipo,790000,2021,71000,القاهرة,أتوماتيك,أزرق,بنزين,2025-04-21
Speranza,M11,255000,2011,236000,عين شمس,مانيوال,أسود,بنزين,2025-04-21
Renault,Logan,275000,2010,200000,الغردقة,مانيوال,بترولي,بنزين,2025-04-21
Toyota,Corolla,855000,2015,63000,الهرم,أتوماتيك,أسود,بنزين,2025-04-21
Speranza,A516,250000,2011,116000,السويس,مانيوال,بترولي,بنزين,2025-04-20
Mitsubishi,Lancer Puma,480000,2006,220000,الغربية,أتوماتيك,فضي,بنزين,2025-04-20
Hyundai,Avante,460000,2004,160000,بني سويف,أتوماتيك,فضي,بنزين,2025-04-20
Kia,Sportage,1300000,2019,100000,مصر الجديدة,أتوماتيك,أسود,بنزين,2025-04-20
Changan,Eado plus,150000,2022,50000,القاهرة,أتوماتيك,أبيض,بنزين,2025-04-20
Kia,Rio,530000,2013,205000,الإسكندرية,أتوماتيك,أبيض,بنزين,2025-04-20
Opel,Astra,365000,2007,300000,الشروق,أتوماتيك,بترولي,بنزين,2025-04-20
Mitsubishi,Pajero,1880000,2017,150000,حدائق الاهرام,أتوماتيك,أبيض,بنزين,2025-04-20
Hyundai,Elantra AD,875000,2020,57000,العبور,أتوماتيك,أبيض,بنزين,2025-04-20
Proton,Saga,700000,2024,8700,التجمع - القاهرة الجديدة,أتوماتيك,فيراني,بنزين,2025-04-20
MG,HS,1250000,2021,111000,مدينة الشيخ زايد,أتوماتيك,أسود,بنزين,2025-04-20
Chevrolet,Lanos,295000,2013,210000,الجيزة,مانيوال,فيراني,بنزين,2025-04-20
Citroën,C Elysee,730000,2020,51000,التجمع - القاهرة الجديدة,أتوماتيك,الأزرق الداكن,بنزين,2025-04-20
Hyundai,Avante,625000,2008,128000,أشمون,أتوماتيك,أسود,بنزين,2025-04-20
MG,5,810000,2022,81000,مصر الجديدة,أتوماتيك,ذهبي,بنزين,2025-04-20
Chevrolet,Cruze,560000,2017,123000,التجمع - القاهرة الجديدة,أتوماتيك,فضي,بنزين,2025-04-20
Hyundai,Atos,265000,2010,130000,سوهاج,مانيوال,فضي,بنزين,2025-04-20
Daewoo,Nubira 2,195000,2005,185000,الجيزة,مانيوال,أسود,بنزين,2025-04-20
Peugeot,3008,1585000,2021,80000,المقطم,أتوماتيك,أبيض,بنزين,2025-04-20
MG,5,80000,2022,70000,القاهرة,أتوماتيك,أسود,بنزين,2025-04-20
Renault,Sandero,150000,2019,120000,القاهرة,أتوماتيك,الأزرق الداكن,بنزين,2025-04-20
Opel,Vectra,525000,2008,280000,القاهرة,أتوماتيك,أسود,بنزين,2025-04-20
Kia,Sephia,270000,2000,208000,دمياط,مانيوال,ذهبي,بنزين,2025-04-20
Suzuki,Swift,780000,2024,24000,6 أكتوبر,أتوماتيك,أبيض,بنزين,2025-04-20
Fiat,Uno,130000,1993,277394,شبرا,مانيوال,احمر,بنزين,2025-04-20
Hyundai,Accent RB,600000,2012,170000,شبين الكوم,أتوماتيك,فضي,بنزين,2025-04-20
Byd,G3,350000,2013,210000,القاهرة,مانيوال,رمادي,بنزين,2025-04-20
Chevrolet,Optra,320000,2008,206000,مدينة نصر,أتوماتيك,الأزرق الداكن,بنزين,2025-04-20
Nissan,Sunny,330000,2013,240000,مدينة نصر,أتوماتيك,فضي,بنزين,2025-04-20
Daewoo,Nubira 2,250000,2000,82000,حدائق الاهرام,مانيوال,برونزي,بنزين,2025-04-21
Kia,Rio,200000,2014,160000,مدينة نصر,أتوماتيك,الأزرق الداكن,بنزين,2025-04-21
Chevrolet,Lanos,285000,2013,195000,كفر الشيخ,مانيوال,احمر غامق,بنزين,2025-04-21
Hyundai,Elantra CN7,1095000,2022,95000,المهندسين,أتوماتيك,أزرق,بنزين,2025-04-21
Byd,L3,560000,2023,50000,المهندسين,أتوماتيك,أزرق,بنزين,2025-04-21
Jeep,Grand Cherokee,1200000,2012,248000,الإسكندرية,أتوماتيك,احمر,بنزين,2025-04-21
Hyundai,IX 35,975000,2016,180000,المهندسين,أتوماتيك,أسود,بنزين,2025-04-21
Fiat,128,135000,2007,85000,المهندسين,مانيوال,أخضر,بنزين,2025-04-21
Nissan,Sunny,535000,2020,140000,المهندسين,أتوماتيك,برونزي,بنزين,2025-04-21
Mercedes,E 200,3600000,2022,30000,الهرم,أتوماتيك,فضي,بنزين,2025-04-21
Opel,Corsa,215000,2003,183000,المعادى,مانيوال,فضي,بنزين,2025-04-20
Chevrolet,Optra,650000,2021,79000,مدينة نصر,أتوماتيك,الأزرق الداكن,بنزين,2025-04-20
Opel,Astra,730000,2016,147000,المقطم,أتوماتيك,فضي,بنزين,2025-04-20
Renault,Fluence,680000,2016,150000,المعادى,أتوماتيك,فضي,بنزين,2025-04-20
Kia,Forte,111000,2010,129000,التجمع - القاهرة الجديدة,أتوماتيك,أبيض,بنزين,2025-04-20
Toyota,Corolla,950000,2016,260000,أسيوط,أتوماتيك,فضي,بنزين,2025-04-20
Peugeot,301,750000,2020,47000,القاهرة,أتوماتيك,فضي,بنزين,2025-04-20
Hyundai,Verna,400000,2010,180000,التجمع - القاهرة الجديدة,أتوماتيك,فيراني,بنزين,2025-04-20
Jeep,Wrangler,1550000,2016,175000,6 أكتوبر,أتوماتيك,أسود,بنزين,2025-04-20
Skoda,Rapid,595000,2016,190000,القاهرة,أتوماتيك,بني,بنزين,2025-04-20
Peugeot,RCZ,900000,2012,157000,حدائق الاهرام,أتوماتيك,فيراني,بنزين,2025-04-20
Hyundai,Elantra AD,1065000,2025,40000,الإسكندرية,أتوماتيك,أبيض,بنزين,2025-04-20
Jeep,Liberty,600000,2006,230000,ميت غمر,أتوماتيك,أسود,بنزين,2025-04-20
Mitsubishi,Lancer EX Shark,650000,2016,290000,الهرم,أتوماتيك,أسود,بنزين,2025-04-20
Hyundai,Verna,350000,2007,400000,دمياط,أتوماتيك,رمادي,بنزين,2025-04-20
Toyota,Avanza,700000,2016,50000,عين شمس,أتوماتيك,فضي,بنزين,2025-04-20
Hyundai,XD,420000,2004,530000,كفر الشيخ,أتوماتيك,أبيض,بنزين,2025-04-20
Hyundai,Accent,420000,2010,130000,القاهرة,أتوماتيك,احمر غامق,بنزين,2025-04-20
Chevrolet,Aveo,540000,2019,155000,6 أكتوبر,أتوماتيك,فضي,بنزين,2025-04-20
Toyota,Corolla,1500000,2021,78000,التجمع - القاهرة الجديدة,أتوماتيك,فضي,بنزين,2025-04-20
Suzuki,Swift,155000,1994,300000,المنصورة,أتوماتيك,فضي,بنزين,2025-04-20
BMW,316,1100000,2016,188000,الشروق,أتوماتيك,برونزي,بنزين,2025-04-20
Kia,Picanto,550000,2012,170000,دمياط,أتوماتيك,فضي,بنزين,2025-04-20
Suzuki,Alto,385000,2022,87000,القاهرة,مانيوال,احمر,بنزين,2025-04-20
Fiat,Tipo,860000,2021,31500,العبور,أتوماتيك,بترولي,بنزين,2025-04-20
Chevrolet,Aveo,300000,2009,283000,6 أكتوبر,مانيوال,فضي,بنزين,2025-04-20
Nissan,Sentra,900000,2023,36000,6 أكتوبر,أتوماتيك,فضي,بنزين,2025-04-20
Nissan,Qashqai,825000,2018,240000,المهندسين,أتوماتيك,أبيض,بنزين,2025-04-20
Chery,A11,185000,2005,240000,الهرم,مانيوال,فضي,بنزين,2025-04-20
Mercedes,B 200,1750000,2022,41000,التجمع - القاهرة الجديدة,أتوماتيك,أسود,بنزين,2025-04-21
MG,5,720000,2022,140000,الهرم,أتوماتيك,احمر,بنزين,2025-04-21
Peugeot,508,1777000,2021,33000,كفر الشيخ,أتوماتيك,أسود,بنزين,2025-04-21
Opel,Astra,525000,2014,138000,الشروق,أتوماتيك,فيراني,بنزين,2025-04-21
Hyundai,Tucson,1750000,2022,20000,الإسكندرية,أتوماتيك,فضي,بنزين,2025-04-21
Byd,F3,320000,2023,83000,القاهرة,أتوماتيك,أبيض,بنزين,2025-04-21
Nissan,Sunny,530000,2018,150000,فاقوس,أتوماتيك,رمادي,بنزين,2025-04-21
Peugeot,3008,1500000,2020,63000,مدينة الشيخ زايد,أتوماتيك,أزرق,بنزين,2025-04-21
Fiat,Tipo,480000,2018,220000,الشروق,مانيوال,احمر,بنزين,2025-04-21
Hyundai,Creta,900000,2017,225000,الإسكندرية,أتوماتيك,فضي,بنزين,2025-04-21
Mitsubishi,Colt,80000,1981,200000,المعادى,أتوماتيك,احمر,بنزين,2025-04-20
Fiat,Palio,170000,2006,100000,السنبلاوين,مانيوال,احمر,بنزين,2025-04-20
Mercedes,C 200,950000,2008,245000,البحيرة,أتوماتيك,فضي,بنزين,2025-04-20
Fiat,Punto,270000,2010,169000,التجمع - القاهرة الجديدة,مانيوال,فضي,بنزين,2025-04-20
Peugeot,301,660000,2016,85000,القاهرة,أتوماتيك,أسود,بنزين,2025-04-20
Peugeot,301,580000,2016,166000,العبور,أتوماتيك,موكا,بنزين,2025-04-20
Speranza,Tiggo,375000,2010,180000,الإسكندرية,أتوماتيك,أسود,بنزين,2025-04-20
Byd,F3,335000,2015,50000,العبور,مانيوال,فيراني,بنزين,2025-04-20
Nissan,Qashqai,850000,2017,80000,6 أكتوبر,أتوماتيك,أزرق,بنزين,2025-04-20
Chery,Tiggo 3,550000,2017,159000,مصر الجديدة,أتوماتيك,فضي,بنزين,2025-04-20
Peugeot,301,480000,2014,170000,الجيزة,أتوماتيك,أسود,بنزين,2025-04-20
Speranza,A11,180000,2006,112500,المعادى,مانيوال,احمر,بنزين,2025-04-20
Chery,Tiggo 3,685000,2020,58000,التجمع - القاهرة الجديدة,أتوماتيك,أسود,بنزين,2025-04-20
Toyota,Fortuner,2250000,2016,130000,حلوان,أتوماتيك,أسود,بنزين,2025-04-20
Skoda,Fantasia,850000,2010,115000,التجمع - القاهرة الجديدة,أتوماتيك,رمادي,بنزين,2025-04-20
Ford,Focus,650000,2017,146000,المهندسين,أتوماتيك,فيراني,بنزين,2025-04-20
Hyundai,Tucson Turbo,700000,2020,97000,مدينة نصر,أتوماتيك,أبيض,بنزين,2025-04-20
Mitsubishi,Lancer Crystala,300000,1998,300000,البحر الأحمر,أتوماتيك,احمر,بنزين,2025-04-20
Chevrolet,Optra,620000,2022,82000,المهندسين,أتوماتيك,فضي,بنزين,2025-04-20
Renault,Kadjar,790000,2018,143000,6 أكتوبر,أتوماتيك,برونزي,بنزين,2025-04-20
Kia,Forte,440000,2009,160000,المرج,أتوماتيك,أسود,بنزين,2025-04-20
Suzuki,Alto,400000,2022,14000,حدائق الاهرام,مانيوال,احمر,بنزين,2025-04-20
Chery,Arrizo 5,580000,2022,120000,العاشر من رمضان,أتوماتيك,أزرق,بنزين,2025-04-20
Chevrolet,Aveo,310000,2008,157000,الإسكندرية,مانيوال,سماوى,بنزين,2025-04-20
Hyundai,Elantra MD,600000,2011,140000,أسيوط,أتوماتيك,فضي,بنزين,2025-04-20
Jeep,Renegade,880000,2016,149000,مدينة الشيخ زايد,أتوماتيك,فيراني,بنزين,2025-04-20
Volvo,S60,1250000,2016,180000,القاهرة,أتوماتيك,أبيض,بنزين,2025-04-20
BMW,320,1500000,2017,190000,التجمع - القاهرة الجديدة,أتوماتيك,برونزي,بنزين,2025-04-20
Hyundai,Excel,165000,1995,270000,القاهرة,مانيوال,احمر غامق,بنزين,2025-04-20
Chevrolet,Cruze,500000,2015,140000,الجيزة,أتوماتيك,رمادي,بنزين,2025-04-20
Hyundai,Excel,187000,1997,280000,العبور,مانيوال,احمر,بنزين,2025-04-21
Kia,K3,1200000,2022,61000,القاهرة,أتوماتيك,أبيض,بنزين,2025-04-21
Ssang Yong,Tivoli,820000,2017,92000,الجيزة,أتوماتيك,أبيض,بنزين,2025-04-21
BMW,320,1375000,2016,150000,مدينة نصر,أتوماتيك,فضي,بنزين,2025-04-21
MG,HS,1200000,2021,57000,دمياط,أتوماتيك,أبيض,بنزين,2025-04-21
Ssang Yong,Tivoli,790000,2019,85000,القاهرة,أتوماتيك,فيراني,بنزين,2025-04-21
Fiat,Tipo,880000,2023,50000,القاهرة,أتوماتيك,احمر,بنزين,2025-04-21
Skoda,Kodiaq,2200000,2023,40000,القاهرة,أتوماتيك,فيراني,بنزين,2025-04-21
Hyundai,Tucson GDI,1375000,2018,140000,فاقوس,أتوماتيك,فضي,بنزين,2025-04-21
MG,ZS,900000,2022,58000,مدينة الشيخ زايد,أتوماتيك,أسود,بنزين,2025-04-20
Ford,Focus,600000,2014,250000,الهرم,أتوماتيك,فضي,بنزين,2025-04-20
Kia,Sportage,810000,2012,190000,العاشر من رمضان,أتوماتيك,أسود,بنزين,2025-04-20
Hyundai,Excel,110000,1995,158068,الجيزة,مانيوال,أسود,غاز الطبيعي,2025-04-20
Kia,Soul,1150000,2020,58000,سوهاج,أتوماتيك,احمر غامق,بنزين,2025-04-20
